0.01029	0.989795174	0.989814806
0.01055	0.989449174	0.989560141
0.0109	0.989051783	0.989217529
0.01113	0.988895595	0.988992513
0.01231	0.98507444	0.987839693
0.01334	0.987579082	0.986835613
0.01354	0.988518237	0.986640882
0.01366	0.986372806	0.986524081
0.0138	0.986243371	0.986387848
0.01415	0.986922851	0.986047429
0.01426	0.986042603	0.985940489
0.01443	0.986294451	0.985775263
0.01446	0.987003145	0.985746111
0.01457	0.985782795	0.985639236
0.0147	0.985314919	0.985512959
0.01471	0.984695084	0.985503247
0.01497	0.985440346	0.985250796
0.01515	0.985295119	0.985076097
0.01548	0.986063067	0.984755977
0.01549	0.986062207	0.98474628
0.0155	0.985406883	0.984736583
0.0155	0.985744325	0.984736583
0.01555	0.985340184	0.9846881
0.01557	0.98402947	0.984668708
0.01564	0.983795675	0.984600843
0.01578	0.986578954	0.98446514
0.01601	0.983551998	0.984242281
0.01697	0.984968999	0.983313175
0.01706	0.985071025	0.983226162
0.01737	0.981847972	0.982926566
0.01745	0.983999796	0.98284928
0.0175	0.984145417	0.982800983
0.01768	0.985147747	0.982627152
0.01858	0.982060771	0.981758919
0.01892	0.979990252	0.981431319
0.01958	0.979942859	0.980796014
0.02037	0.980351858	0.980036653
0.02041	0.980675428	0.979998236
0.0208	0.980395205	0.979623824
0.02098	0.981052446	0.979451116
0.02157	0.97653879	0.978885441
0.02168	0.979121086	0.978780049
0.02195	0.97857759	0.978521454
0.02205	0.978433615	0.978425713
0.02242	0.978492442	0.978071634
0.02248	0.97955287	0.97801424
0.02298	0.975627896	0.977536218
0.02303	0.975622094	0.977488441
0.0233	0.978185433	0.977230529
0.02335	0.97666969	0.977182782
0.02345	0.977981879	0.977087303
0.02355	0.977408192	0.976991842
0.02379	0.975208674	0.976762813
0.02389	0.976491986	0.976667415
0.02389	0.977720299	0.976667415
0.02418	0.976732184	0.976390869
0.02458	0.976908477	0.976009682
0.02472	0.975220194	0.975876337
0.02473	0.978585783	0.975866814
0.02493	0.976871217	0.975676388
0.02517	0.978780768	0.975447974
0.02549	0.978402302	0.97514359
0.02655	0.972791995	0.974136671
0.0267	0.973648696	0.973994351
0.02687	0.974691095	0.973833104
0.02707	0.974494617	0.973643471
0.02741	0.972563494	0.973321264
0.02761	0.971162185	0.97313183
0.02767	0.977450947	0.973075014
0.02774	0.971978797	0.973008738
0.02856	0.973438111	0.972233025
0.0291	0.970532472	0.971722865
0.02951	0.972316744	0.971335878
0.03032	0.971467572	0.970572249
0.03035	0.969236883	0.97054399
0.03041	0.969843747	0.970487476
0.03052	0.965113612	0.970383884
0.03071	0.970328007	0.970205004
0.03147	0.969707296	0.969490145
0.03147	0.969016963	0.969490145
0.03162	0.970485411	0.969349179
0.03176	0.970329553	0.969217648
0.03251	0.964024265	0.968513622
0.03315	0.967691243	0.967913662
0.03323	0.965513194	0.967838719
0.03365	0.965280614	0.96744546
0.03411	0.964820333	0.967015114
0.03481	0.966645748	0.966360974
0.03489	0.968355925	0.966286272
0.035	0.965797536	0.966183575
0.03501	0.965709256	0.96617424
0.03573	0.971244962	0.965502592
0.03693	0.962555665	0.964385253
0.03701	0.96354166	0.964310855
0.03711	0.963776771	0.964217875
0.03812	0.963803874	0.963279775
0.03905	0.959013553	0.962417593
0.03922	0.962722342	0.962260157
0.04026	0.957686975	0.961298137
0.04072	0.960038175	0.960873242
0.04186	0.955003053	0.959821857
0.04243	0.959399112	0.959297027
0.04497	0.955172967	0.956965272
0.04674	0.957539699	0.955347078
0.04904	0.957421902	0.953252498
0.04928	0.955168247	0.953034462
0.04953	0.954725226	0.952807447
0.05309	0.948437977	0.949586455
0.05367	0.951773359	0.949063749
0.05492	0.945439724	0.94793918
0.05848	0.939295695	0.944750964
0.05942	0.945979765	0.943912707
0.06297	0.940581379	0.940760322
0.063	0.940807754	0.940733772
0.06337	0.934227249	0.940406444
0.065	0.941933381	0.938967136
0.06513	0.935030542	0.938852534
0.067	0.937306166	0.937207123
0.06793	0.937722302	0.936390962
0.06905	0.931747469	0.935409943
0.07009	0.938284325	0.934500836
0.07461	0.931030438	0.93057016
0.07529	0.932398245	0.929981679
0.07823	0.925876071	0.927445907
0.07888	0.932932147	0.926887142
0.0801	0.929340557	0.9258402
0.087	0.921564599	0.919963201
0.087	0.919176737	0.919963201
0.09	0.925372288	0.917431193
0.095	0.906649986	0.913242009
0.104	0.899941842	0.905797101
0.108	0.890436465	0.902527076
0.11	0.90134168	0.900900901
0.116	0.888259553	0.896057348
0.117	0.886553981	0.895255148
0.118	0.893780054	0.894454383
0.119	0.899162662	0.893655049
0.121	0.888289973	0.89206066
0.124	0.893174323	0.889679715
0.1242	0.88065195	0.889521437
0.125	0.894281029	0.888888889
0.127	0.893554222	0.887311446
0.128	0.884501449	0.886524823
0.13	0.890701064	0.884955752
0.13	0.888827834	0.884955752
0.143	0.868237832	0.874890639
0.143	0.857450799	0.874890639
0.145	0.863952355	0.873362445
0.146	0.859942964	0.872600349
0.147	0.881290223	0.871839582
0.147	0.850930674	0.871839582
0.148	0.861640078	0.871080139
0.153	0.866169606	0.867302689
0.156	0.852197334	0.865051903
0.162	0.864507121	0.860585198
0.165	0.855456007	0.858369099
0.1692	0.848488586	0.855285665
0.172	0.859224417	0.853242321
0.174	0.855267459	0.851788756
0.175	0.853587028	0.85106383
0.179	0.809633235	0.848176421
0.181	0.84818399	0.846740051
0.181	0.840217396	0.846740051
0.183	0.848939715	0.845308538
0.184	0.829123088	0.844594595
0.184	0.828877821	0.844594595
0.185	0.85017305	0.843881857
